"Time","protetor solar","vitamina c","skincare","ácido hialurônico","sérum facial","sérum vitamina c"
"2025-07-20",43,29,6,8,2,0
"2025-07-27",41,27,6,7,1,0
"2025-08-03",47,28,6,7,2,1
"2025-08-10",44,28,6,8,2,0
"2025-08-17",51,29,6,8,2,1
"2025-08-24",48,33,6,8,2,1
"2025-08-31",56,27,6,8,2,1
"2025-09-07",56,27,6,8,2,1
"2025-09-14",57,27,5,8,2,0
"2025-09-21",51,27,5,7,2,1
"2025-09-28",55,25,5,8,2,0
"2025-10-05",57,25,5,8,2,0
"2025-10-12",54,25,6,8,2,0
"2025-10-19",51,26,5,8,2,0
"2025-10-26",48,26,7,8,2,0
"2025-11-02",55,24,10,8,2,0
"2025-11-09",64,24,10,8,2,1
"2025-11-16",66,28,10,9,2,1
"2025-11-23",77,26,15,9,3,1
"2025-11-30",73,24,16,7,2,0
"2025-12-07",71,23,14,8,2,1
"2025-12-14",65,22,14,7,2,0
"2025-12-21",92,22,11,6,2,0
"2025-12-28",100,21,17,6,2,1
"2026-01-04",78,24,11,8,2,1
"2026-01-11",75,24,12,8,2,0
"2026-01-18",56,25,12,8,2,1
"2026-01-25",58,25,12,8,2,1
"2026-02-01",55,28,10,9,2,1
"2026-02-08",57,27,11,9,2,0
"2026-02-15",61,27,13,8,2,0
"2026-02-22",49,28,11,8,2,1
"2026-03-01",51,32,11,9,2,1
"2026-03-08",46,30,12,8,2,1
"2026-03-15",50,31,12,8,2,1
"2026-03-22",48,29,10,9,2,1
"2026-03-29",47,28,10,8,2,1
"2026-04-05",46,30,10,7,2,1
"2026-04-12",48,29,11,7,2,1
"2026-04-19",46,28,13,8,2,1
"2026-04-26",44,30,11,7,2,1
"2026-05-03",44,28,10,7,2,1
"2026-05-10",39,29,9,8,2,1
"2026-05-17",35,28,9,8,2,1
"2026-05-24",38,27,9,8,2,1
"2026-05-31",40,31,10,8,2,1
"2026-06-07",36,28,9,8,2,0
"2026-06-14",33,27,12,8,1,0
"2026-06-21",33,24,15,7,2,1
"2026-06-28",44,28,10,8,2,0
"2026-07-05",48,30,9,9,2,1
"2026-07-12",49,32,10,9,3,1
"2026-07-19",47,25,9,7,2,0
