No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
1,"Smartphone","Google","Ordem alfabética","a","smartphone asus","pt","br","1.6K","0.15"
2,"Smartphone","Google","Ordem alfabética","a","smartphone a56","pt","br","1.0K","0.42"
3,"Smartphone","Google","Ordem alfabética","a","smartphone apple","pt","br","720","0.32"
4,"Smartphone","Google","Ordem alfabética","a","smartphone a56 256gb","pt","br","0","-"
5,"Smartphone","Google","Ordem alfabética","a","smartphone até 1000","pt","br","0","-"
6,"Smartphone","Google","Ordem alfabética","a","smartphone a prova d'água","pt","br","0","-"
7,"Smartphone","Google","Ordem alfabética","a","smartphone android","pt","br","0","-"
8,"Smartphone","Google","Ordem alfabética","a","smartphone apple iphone 14 pro 128gb","pt","br","0","-"
9,"Smartphone","Google","Ordem alfabética","a","smartphone a57","pt","br","0","-"
10,"Smartphone","Google","Ordem alfabética","a","smartphone a07","pt","br","0","-"
11,"Smartphone","Google","Ordem alfabética","a","smartphone a17 samsung","pt","br","0","-"
12,"Smartphone","Google","Ordem alfabética","a","smartphone a17","pt","br","0","-"
13,"Smartphone","Google","Ordem alfabética","a","smartphone a36 256gb","pt","br","0","-"
14,"Smartphone","Google","Ordem alfabética","a","smartphone a07 samsung","pt","br","0","-"
15,"Smartphone","Google","Ordem alfabética","a","smartphone a36","pt","br","0","-"
16,"Smartphone","Google","Ordem alfabética","b","smartphone barato","pt","br","6.6K","0.25"
17,"Smartphone","Google","Ordem alfabética","b","smartphone barato e bom","pt","br","2.4K","0.29"
18,"Smartphone","Google","Ordem alfabética","b","smartphone blackview","pt","br","590","0.17"
19,"Smartphone","Google","Ordem alfabética","b","smartphone blu","pt","br","0","-"
20,"Smartphone","Google","Ordem alfabética","b","smartphone bom","pt","br","0","-"
21,"Smartphone","Google","Ordem alfabética","b","smartphone blackberry","pt","br","0","-"
22,"Smartphone","Google","Ordem alfabética","b","smartphone barato novo","pt","br","0","-"
23,"Smartphone","Google","Ordem alfabética","b","smartphone barato com nfc","pt","br","0","-"
24,"Smartphone","Google","Ordem alfabética","b","smartphone bml","pt","br","0","-"
25,"Smartphone","Google","Ordem alfabética","b","smartphone bom para jogos","pt","br","0","-"
26,"Smartphone","Google","Ordem alfabética","b","smartphone bateria 7000mah","pt","br","0","-"
27,"Smartphone","Google","Ordem alfabética","b","smartphone bom custo benefício","pt","br","0","-"
28,"Smartphone","Google","Ordem alfabética","b","smartphone bml é bom","pt","br","0","-"
29,"Smartphone","Google","Ordem alfabética","b","smartphone bom e barato para jogos","pt","br","0","-"
30,"Smartphone","Google","Ordem alfabética","b","smartphone bom e barato 2026","pt","br","0","-"
31,"Smartphone","Google","Ordem alfabética","c","smartphone claro","pt","br","6.6K","0.13"
32,"Smartphone","Google","Ordem alfabética","c","smartphone caterpillar","pt","br","1.9K","0.11"
33,"Smartphone","Google","Ordem alfabética","c","smartphone com nfc","pt","br","1.6K","0.27"
34,"Smartphone","Google","Ordem alfabética","c","smartphone casas bahia","pt","br","0","-"
35,"Smartphone","Google","Ordem alfabética","c","smartphone com melhor camera","pt","br","0","-"
36,"Smartphone","Google","Ordem alfabética","c","smartphone cubot","pt","br","0","-"
37,"Smartphone","Google","Ordem alfabética","c","smartphone com camera boa","pt","br","0","-"
38,"Smartphone","Google","Ordem alfabética","c","smartphone com carregamento por indução","pt","br","0","-"
39,"Smartphone","Google","Ordem alfabética","c","smartphone com nfc barato","pt","br","0","-"
40,"Smartphone","Google","Ordem alfabética","c","smartphone com snapdragon","pt","br","0","-"
41,"Smartphone","Google","Ordem alfabética","c","smartphone com bateria de longa duração","pt","br","0","-"
42,"Smartphone","Google","Ordem alfabética","c","smartphone com 512 gb de memória","pt","br","0","-"
43,"Smartphone","Google","Ordem alfabética","c","smartphone custo benefício 2026","pt","br","0","-"
44,"Smartphone","Google","Ordem alfabética","c","smartphone celular xiaomi redmi note 14","pt","br","0","-"
45,"Smartphone","Google","Ordem alfabética","c","smartphone com melhor custo benefício 2026","pt","br","0","-"
46,"Smartphone","Google","Ordem alfabética","d","smartphone dobrável","pt","br","8.1K","0.16"
47,"Smartphone","Google","Ordem alfabética","d","smartphone doogee","pt","br","720","0.18"
48,"Smartphone","Google","Ordem alfabética","d","smartphone da samsung","pt","br","480","0.24"
49,"Smartphone","Google","Ordem alfabética","d","smartphone da xiaomi","pt","br","0","-"
50,"Smartphone","Google","Ordem alfabética","d","smartphone da tesla","pt","br","0","-"
51,"Smartphone","Google","Ordem alfabética","d","smartphone da google","pt","br","0","-"
52,"Smartphone","Google","Ordem alfabética","d","smartphone da apple","pt","br","0","-"
53,"Smartphone","Google","Ordem alfabética","d","smartphone da motorola","pt","br","0","-"
54,"Smartphone","Google","Ordem alfabética","d","smartphone de entrada","pt","br","0","-"
55,"Smartphone","Google","Ordem alfabética","d","smartphone de 512 gb","pt","br","0","-"
56,"Smartphone","Google","Ordem alfabética","d","smartphone dual chip","pt","br","0","-"
57,"Smartphone","Google","Ordem alfabética","d","smartphone da sony","pt","br","0","-"
58,"Smartphone","Google","Ordem alfabética","d","smartphone dobrável xiaomi","pt","br","0","-"
59,"Smartphone","Google","Ordem alfabética","d","smartphone da polishop","pt","br","0","-"
60,"Smartphone","Google","Ordem alfabética","d","smartphone de entrada 2026","pt","br","0","-"
61,"Smartphone","Google","Ordem alfabética","e","smartphone em promoção","pt","br","8.1K","0.33"
62,"Smartphone","Google","Ordem alfabética","e","smartphone em oferta","pt","br","480","0.35"
63,"Smartphone","Google","Ordem alfabética","e","smartphone em promoção hoje","pt","br","320","0.34"
64,"Smartphone","Google","Ordem alfabética","e","smartphone edge 60","pt","br","0","-"
65,"Smartphone","Google","Ordem alfabética","e","smartphone edge 60 pro","pt","br","0","-"
66,"Smartphone","Google","Ordem alfabética","e","smartphone em promoção 5g","pt","br","0","-"
67,"Smartphone","Google","Ordem alfabética","e","smartphone edge","pt","br","0","-"
68,"Smartphone","Google","Ordem alfabética","e","smartphone edge 60 fusion","pt","br","0","-"
69,"Smartphone","Google","Ordem alfabética","e","smartphone elon musk","pt","br","0","-"
70,"Smartphone","Google","Ordem alfabética","e","smartphone edge 70 fusion","pt","br","0","-"
71,"Smartphone","Google","Ordem alfabética","e","smartphone e celular é a mesma coisa","pt","br","0","-"
72,"Smartphone","Google","Ordem alfabética","e","smartphone edge 70 pro","pt","br","0","-"
73,"Smartphone","Google","Ordem alfabética","e","smartphone edge 70","pt","br","0","-"
74,"Smartphone","Google","Ordem alfabética","e","smartphone edge 60 neo","pt","br","0","-"
75,"Smartphone","Google","Ordem alfabética","e","smartphone edge 70 5g motorola","pt","br","0","-"
76,"Smartphone","Google","Ordem alfabética","f","smartphone flip","pt","br","1.0K","0.14"
77,"Smartphone","Google","Ordem alfabética","f","smartphone flip samsung","pt","br","260","0.23"
78,"Smartphone","Google","Ordem alfabética","f","smartphone fold","pt","br","140","0.14"
79,"Smartphone","Google","Ordem alfabética","f","smartphone flip xiaomi","pt","br","0","-"
80,"Smartphone","Google","Ordem alfabética","f","smartphone flash tool","pt","br","0","-"
81,"Smartphone","Google","Ordem alfabética","f","smartphone flip motorola","pt","br","0","-"
82,"Smartphone","Google","Ordem alfabética","f","smartphone fisher price","pt","br","0","-"
83,"Smartphone","Google","Ordem alfabética","f","smartphone fino","pt","br","0","-"
84,"Smartphone","Google","Ordem alfabética","f","smartphone fabricado pela apple","pt","br","0","-"
85,"Smartphone","Google","Ordem alfabética","f","smartphone fone","pt","br","0","-"
86,"Smartphone","Google","Ordem alfabética","f","smartphone foto","pt","br","0","-"
87,"Smartphone","Google","Ordem alfabética","f","smartphone foi criado em que ano","pt","br","0","-"
88,"Smartphone","Google","Ordem alfabética","f","smartphone flagship","pt","br","0","-"
89,"Smartphone","Google","Ordem alfabética","f","smartphone foi redefinido para a configuração original para usá-lo digite seu padrão anterior","pt","br","0","-"
90,"Smartphone","Google","Ordem alfabética","f","smartphone fossibot","pt","br","0","-"
91,"Smartphone","Google","Ordem alfabética","g","smartphone google","pt","br","1.0K","0.12"
92,"Smartphone","Google","Ordem alfabética","g","smartphone gamer","pt","br","1.0K","0.15"
93,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy","pt","br","880","0.48"
94,"Smartphone","Google","Ordem alfabética","g","smartphone google pixel","pt","br","0","-"
95,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a56","pt","br","0","-"
96,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy s25","pt","br","0","-"
97,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a07 128gb samsung","pt","br","0","-"
98,"Smartphone","Google","Ordem alfabética","g","smartphone google pixel 10 pro","pt","br","0","-"
99,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a17 lte 256gb samsung","pt","br","0","-"
100,"Smartphone","Google","Ordem alfabética","g","smartphone gamer infinix gt30 pro 5g","pt","br","0","-"
101,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy s25 fe 128gb 8gb samsung","pt","br","0","-"
102,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a07 128gb tela 6.7 verde verde","pt","br","0","-"
103,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy z flip7 fe 5g 128gb 8gb ram 50mp samsung","pt","br","0","-"
104,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a07 samsung","pt","br","0","-"
105,"Smartphone","Google","Ordem alfabética","g","smartphone galaxy a17","pt","br","0","-"
106,"Smartphone","Google","Ordem alfabética","h","smartphone huawei","pt","br","2.9K","0.17"
107,"Smartphone","Google","Ordem alfabética","h","smartphone honor","pt","br","1.3K","0.11"
108,"Smartphone","Google","Ordem alfabética","h","smartphone honor x7c","pt","br","320","0.11"
109,"Smartphone","Google","Ordem alfabética","h","smartphone honor magic 7 lite","pt","br","0","-"
